,내용,등록일
1,갤탭 s7플러스 구입후 1달이 넘었지만유튜브  넷플  영상 위주로만 보고 있네요그래도 화면이 크니 휴대폰으로 보는것보다 만족합니다 ,2021.08.13. 00:46
2,18년도에 산 s3 열심히 쓰면서 살다가 어느날 독서실에서 다른 사람들 태블릿보는데제 것이 너무 낡았나 생각이 들더라구요그래서 여러 기종보다가 전 돈이 별로 없어서  s6lite로 합의 봤습니다s5e랑 엄청 고민했는데 아직 공부하는 중이라 s6lite가 맞는듯여튼 s6 lite 넘어오니 넓은 화면  다양한 기능 훨씬 좋아진 필기감에 만족했습니다그리고 s3는 쿼드 스피커인데 반해  s6라이트는 투스피커여서 음질 별로일줄 알았는데 왠걸 얘가 더 음질이 좋네요그리고 화면색감은 아무래도 oled에 밀리네요 화면이 허여멀건함그리고 화질도 한계가 있어 초고화질 보고싶을 때 좀 아쉬워유여담으로 이번에 유투브 프리미엄 결제해서 유투브 뮤직써봤는데 이거 은근 좋습니다음질도 준수하고 인공지능 자동 추천으로 좋아할만한 아티스트노래 알아서 계속 틀어줌,2021.08.12. 21:15
3,폴드2곧 3으로 기변예정와 같이 쓰려고싼 걸 찾다 구입했습니다단점부터 말하자면굿락 사운드 어시스턴스 안되서이를 대처할 어플 좀 알아봐야겠네요장점은 저렴한 가격에서 오는 이점입니다폴드가 있기 때문에 집에서 영상용으로 쓸 생각이라집에서 막굴리기엔 이만한 것도 없습니다따러서 케이스 보호필름없이 굴릴 예정입니다,2021.08.11. 07:32
4,바꾼지 2주만에 글 남깁니다저희 누나는 진짜 대만족 하면서 씁니다    태블릿 바꾼 기념으로 제가 삼성 사은품으로 사준 케이스와 파우치 입니다태블릿은 핑크색이 이쁜데 케이스는 영 아니네요저라면 패드는 핑크 케이스는 그린으로 살꺼 같네요 그리고 제조사 사은품 필름입니다태블릿 비교샷이 있는데  1저희누나가 썼던 탭 a 1017만원에 소녀폰행2저의 탭s7 미스틱블랙8256기가3저희누나 탭 s7 fe 미스틱핑크6128기가확실히 저희누나 새 태블릿이 더 크네요탭 fe 미스틱핑크 실물은 진짜 이쁩니다노말도 이 컬러 나왔었어야 하는데그리고 삼성 요즘 너무 아쉽네요미국판에는 탭 fe 와이파이모델에 778g가 들어간다하구거기다 미국판은 256기가가 있다는 이야기가그리고 S22는 8램으로나온다고 하네요노말플러스는 8256기가 나와도 12512나 16512는 옵션으로 나왔으면 하네요제 s20을 s22로 바꿀 계획이 있는데12램으로 나와줬으면 합니다,2021.08.09. 17:22
5,중고 단순개봉 새상품 구매했는데아이패드 프로에서 넘어와서 그런지전체적으로 너무 버벅거리는 느낌이있네요 하드웨어차이가 너무 나지만라이트하게 사용하다보니 괜찮을지 알았는데화면 매끄러움과 영상 하얀바탕 줄보이는게 너무 신경쓰여요 ,2021.08.06. 13:47
6,전 그냥 S7 와파로 미스틱네이비 사쒀용그래서 악세사리도 배경화면도 죄다 하늘색으로 도배를 했네욬첨부터 다시 후기 쓰기 너무 빡세서 후기 쓴거 주소 남겨볼께요케이스는 네이버 리뷰순으로 놓고 맘에드는거 찾아서 싸게샀는데 저는 만족중입니닼이젠 유투브보고 덱스 그거랑 삼성노트 편하게 쓰는 팁같은 것 좀 배워야겠어요   갤럭시탭S7 512 네이비 도착저 드디어 패드병 완치했습니다 사야만 비로소 낫는다는 그 무시시한 병 아이패드 앓이로 시작해서 갤럭blognavercom ,2021.08.05. 21:44
7,뒤늦게 알게된 오줌액정 저도 당첨같네요 저는 보이는데 옆 친구는 갠찮다고하네요  제눈엔 저부분만 딱 느껴지는데 그냥 다행이라고 해야하는걸까요 받자마자 불량체크하는게 뭔지 아시는분들 알려주세요 ,2021.08.04. 11:42
8,센터에 간김에 문의한 내용입니다 탭에 들어있는 충전기가 휴대폰에 들어있는 충전기와 똑같이 생겼지요 보통 기존에 쓰는게 있으니 새거는 잘 안꺼내게 되는데요생긴건 똑같은데 제조일만 18년 제품인데 발열이 어마어마하게 나더라구요 폭발하는게 아닌가 싶을 정도로센터에서는 최신 제품을 사용해보라고하고 그래도 발열이 많이나면 센터와서 교체하라고 합니다 탭박스에 들어있던 새충전기를 사용해보고 있는데 확실히 발열이 덜합니다 충전기는 최신제품으로 사용하시는 걸 추천합니다  예전 사용하던 충전기는 과감하게 버릴 건 버려야겠네요,2021.08.04. 10:27
9, 배터리 효율이 상당히 좋네요 탭6라이트 보단 더 오래 가는거 같아요,2021.08.04. 09:20
10,현재 주로 영상이나 필기앱 용으로 쓰고 있습니다 현재 만족하면서 쓰고 있긴합니다 7fe 사려다 기계를 막다루는 제 특성상 가성비 쪽을 선택했는데 후기보니까 7fe가 아무래도 화면도 넓고 나쁘지 않은 것 같아서요 조금 더 기다렸다가 7fe 살 걸 그랬나 후회가 살짝되긴하는데 어쨌든 갤식라 샀으니 몇년간은 이 아쉬운 마음 더 들지 않게 알차게 써보려합니다,2021.08.01. 10:05
